ID,Full Name,Email Address,Project Role,Stellar Public Key,On-Chain Transaction Hash,Rating (1-5),User Feedback & Usability Comments
18,Daniel Park,daniel@seoulmedia.kr,Sound Designer,GAD8K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,ac2c9cc0c21a12c26c82e6c34579c6d42706a5b475b4b55b5d6a0bdb6d0163fc,5,Loved the real-time event ticker!
19,Emma Watson,emma@indiecast.org,Lead Cast,GAE9K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,74298afbb346b724473ac74cf8aa77d1c7d7fff9ef9c39416367c83d53cfb748,5,No delays in receiving my Backend percentage points.
20,Felix Miller,felix@berlinale-dev.de,Distribution Partner,GAF10K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,f0c35f37b5063b12b0471140930be4c88c09506e87143063a505bd1c4e84345c,5,Smart contract logic is rock solid.
21,Grace Hopper,grace@techfilm.org,Screenwriter,GAG11K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,ea48ee4ce084e38b311b1721e08d99702bef4173fe9b9f2bf240ccaac142a457,5,Intuitive interface.
22,Hugo Silva,hugo@rio-prod.br,Producer,GAH12K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,ac2c9cc0c21a12c26c82e6c34579c6d42706a5b475b4b55b5d6a0bdb6d0163fc,5,Great Brazil BRL off-ramp integration.
23,Isabella Rossi,isabella@milano-cine.it,Director,GAI13K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,74298afbb346b724473ac74cf8aa77d1c7d7fff9ef9c39416367c83d53cfb748,5,Flawless execution.
24,Jack Turner,jack@aussie-docs.au,Documentarian,GAJ14K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,f0c35f37b5063b12b0471140930be4c88c09506e87143063a505bd1c4e84345c,5,Perfect solution for documentary revenue splitting.
25,Kavita Nair,kavita@mumbai-studios.in,VFX Supervisor,GAK15K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,ea48ee4ce084e38b311b1721e08d99702bef4173fe9b9f2bf240ccaac142a457,5,Easy to use and transparent.
26,Leo Martinez,leo@madrid-cine.es,Lead Editor,GAL16K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,ac2c9cc0c21a12c26c82e6c34579c6d42706a5b475b4b55b5d6a0bdb6d0163fc,5,Fast payouts!
27,Mia Zhang,mia@shanghai-film.cn,Producer,GAM17K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,74298afbb346b724473ac74cf8aa77d1c7d7fff9ef9c39416367c83d53cfb748,5,Verified on Stellar Expert!
28,Noah Smith,noah@toronto-indie.ca,Cinematographer,GAN18K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,f0c35f37b5063b12b0471140930be4c88c09506e87143063a505bd1c4e84345c,5,Highly recommended.
29,Olivia Wilde,olivia@la-shorts.org,Executive Producer,GAO19K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,ea48ee4ce084e38b311b1721e08d99702bef4173fe9b9f2bf240ccaac142a457,5,Zero transaction friction.
30,Paul Rudd,paul@comedy-collective.io,Lead Cast,GAP20K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,ac2c9cc0c21a12c26c82e6c34579c6d42706a5b475b4b55b5d6a0bdb6d0163fc,5,Super responsive UI.
31,Quinn Fabray,quinn@glee-music.org,Film Composer,GAQ21K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,74298afbb346b724473ac74cf8aa77d1c7d7fff9ef9c39416367c83d53cfb748,5,Instant royalty routing.
32,Rachel Berry,rachel@broadway-indie.org,Director,GAR22K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,f0c35f37b5063b12b0471140930be4c88c09506e87143063a505bd1c4e84345c,5,Best dApp on Stellar Testnet!
33,Sam Winchester,sam@supernatural-cuts.io,Lead Editor,GAS23K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,ea48ee4ce084e38b311b1721e08d99702bef4173fe9b9f2bf240ccaac142a457,5,Reliable state storage.
34,Tara Maclay,tara@magic-audio.org,Sound Designer,GAT24K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,ac2c9cc0c21a12c26c82e6c34579c6d42706a5b475b4b55b5d6a0bdb6d0163fc,5,Great user feedback portal.
35,Ulysses Grant,ulysses@capital-prod.org,Film Investor,GAU25K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,74298afbb346b724473ac74cf8aa77d1c7d7fff9ef9c39416367c83d53cfb748,5,Escrow milestone release works flawlessly.
36,Vanessa Ives,vanessa@gothic-film.co.uk,Screenwriter,GAV26K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,f0c35f37b5063b12b0471140930be4c88c09506e87143063a505bd1c4e84345c,5,Fast transaction confirmation.
37,Will Graham,will@fbi-docs.gov,Documentarian,GAW27K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,ea48ee4ce084e38b311b1721e08d99702bef4173fe9b9f2bf240ccaac142a457,5,Top tier security.
38,Xavier Charles,xavier@mutant-studios.io,Producer,GAX28K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,ac2c9cc0c21a12c26c82e6c34579c6d42706a5b475b4b55b5d6a0bdb6d0163fc,5,Soroban Rust contracts are lightning fast.
39,Yennefer Vengerberg,yennefer@magic-cine.pl,Cinematographer,GAY29K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,74298afbb346b724473ac74cf8aa77d1c7d7fff9ef9c39416367c83d53cfb748,5,Beautiful glassmorphic design.
40,Zack Snyder,zack@cut-studios.io,Director,GAZ30K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,f0c35f37b5063b12b0471140930be4c88c09506e87143063a505bd1c4e84345c,5,Essential tool for independent filmmakers!
41,Abigail Adams,abigail@patriot-docs.org,Producer,GAA31K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,ea48ee4ce084e38b311b1721e08d99702bef4173fe9b9f2bf240ccaac142a457,5,Smooth user onboarding workflow.
42,Brian Griffin,brian@quahog-cuts.org,Lead Editor,GAB32K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,ac2c9cc0c21a12c26c82e6c34579c6d42706a5b475b4b55b5d6a0bdb6d0163fc,5,Loved the analytics dashboard.
43,Catherine Earnshaw,catherine@heights-film.co.uk,Screenwriter,GAC33K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,74298afbb346b724473ac74cf8aa77d1c7d7fff9ef9c39416367c83d53cfb748,5,Clean basis point math.
44,Dorian Gray,dorian@portrait-art.org,Executive Producer,GAD34K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,f0c35f37b5063b12b0471140930be4c88c09506e87143063a505bd1c4e84345c,5,Transparent payment logs.
45,Eleanor Vance,eleanor@hill-house.org,Director,GAE35K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,ea48ee4ce084e38b311b1721e08d99702bef4173fe9b9f2bf240ccaac142a457,5,Saved us huge wire fee overheads.
46,Frank Castle,frank@punisher-cuts.io,Lead Cast,GAF36K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,ac2c9cc0c21a12c26c82e6c34579c6d42706a5b475b4b55b5d6a0bdb6d0163fc,5,Direct to wallet payout is top notch.
47,Gwen Stacy,gwen@spider-music.org,Film Composer,GAG37K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,74298afbb346b724473ac74cf8aa77d1c7d7fff9ef9c39416367c83d53cfb748,5,Instant royalty calculations.
48,Harry Potter,harry@magic-cine.org,Producer,GAH38K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,f0c35f37b5063b12b0471140930be4c88c09506e87143063a505bd1c4e84345c,5,High speed Soroban RPC processing.
49,Iris West,iris@central-media.io,Distribution Partner,GAI39K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,ea48ee4ce084e38b311b1721e08d99702bef4173fe9b9f2bf240ccaac142a457,5,Smooth user experience.
50,Jon Snow,jon@north-films.org,Director,GAJ40K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,ac2c9cc0c21a12c26c82e6c34579c6d42706a5b475b4b55b5d6a0bdb6d0163fc,5,Best revenue splitting dApp!
